1,11111001
2,01111100
3,00001110
4,10101110
5,00101111
6,10101010
7,11110010
8,10010100
9,01010011
10,11100101
11,11010000
12,01110100
13,10000011
14,10100000
15,01110010
16,00010011
17,10010111
18,00011100
19,01100010
20,10100101
21,11110001
22,01010101
23,10101000
24,01100110
25,00111111
26,01111111
27,11010000
28,01100101
29,10100001
30,00001111
31,10111011
32,11000000
33,00110101
34,01100111
35,10011111
36,01110000
37,01101000
38,10100000
39,00111111
40,00110110
41,10011101
42,10101111
43,11000001
44,01010110
45,01101011
46,11111010
47,00110100
48,10101010
49,01101100
50,00111011
51,11100000
52,00011001
53,00011100
54,00101000
55,10111011
56,00111111
57,00101110
58,10001011
59,11011001
60,01000010
61,00011111
62,11100110
63,10000100
64,11011101
65,11101111
66,11100000
67,10100000
68,11001000
69,11111110
70,11011001
71,10011110
72,11010010
73,10010000
74,11010010
75,01010011
76,11011011
77,01001000
78,10110110
79,10110000
80,11101010
81,10100101
82,00010100
83,10011101
84,01010111
85,00001111
86,01111000
87,10010100
88,11110001
89,00111100
90,11101100
91,00010101
92,10101110
93,01001010
94,11001100
95,10101111
96,00100011
97,11001000
98,01101111
99,10110001
100,01100001
