3,00001110
30,00001111
85,00001111
16,00010011
82,00010100
91,00010101
52,00011001
18,00011100
53,00011100
61,00011111
96,00100011
54,00101000
57,00101110
5,00101111
47,00110100
33,00110101
40,00110110
50,00111011
89,00111100
25,00111111
39,00111111
56,00111111
60,01000010
77,01001000
93,01001010
9,01010011
75,01010011
22,01010101
44,01010110
84,01010111
100,01100001
19,01100010
28,01100101
24,01100110
34,01100111
37,01101000
45,01101011
49,01101100
98,01101111
36,01110000
15,01110010
12,01110100
86,01111000
2,01111100
26,01111111
13,10000011
63,10000100
58,10001011
73,10010000
8,10010100
87,10010100
17,10010111
41,10011101
83,10011101
71,10011110
35,10011111
14,10100000
38,10100000
67,10100000
29,10100001
20,10100101
81,10100101
23,10101000
6,10101010
48,10101010
4,10101110
92,10101110
42,10101111
95,10101111
79,10110000
99,10110001
78,10110110
31,10111011
55,10111011
32,11000000
43,11000001
68,11001000
97,11001000
94,11001100
11,11010000
27,11010000
72,11010010
74,11010010
59,11011001
70,11011001
76,11011011
64,11011101
51,11100000
66,11100000
10,11100101
62,11100110
80,11101010
90,11101100
65,11101111
21,11110001
88,11110001
7,11110010
1,11111001
46,11111010
69,11111110
